Date,Index Code,Index Name(Eng.),Constituent Code,Constituent Name(Eng.),Exchange,Weight(%),Trading Currency
2014-12-01,000300,CSI 300,600663,Shanghai Lujiazui Finance and Trade Zone Development Co Ltd,Shanghai,0.19,CNY
2014-12-01,000300,CSI 300,600664,Harbin Pharmaceutical Group Co Ltd,Shanghai,0.11,CNY
2014-12-01,000300,CSI 300,600674,Sichuan Chuantou Energy Co Ltd,Shanghai,0.28,CNY
2014-12-01,000300,CSI 300,600688,Sinopec Shanghai Petrochemical Co Ltd,Shanghai,0.13,CNY
2014-12-01,000300,CSI 300,600690,Qingdao Haier Co Ltd,Shanghai,0.41,CNY
2014-12-01,000300,CSI 300,600703,"Sanan Optoelectronics Co.,Ltd",Shanghai,0.25,CNY
2014-12-01,000300,CSI 300,600705,"AVIC CAPITAL CO.,LTD.",Shanghai,0.22,CNY
2014-12-01,000300,CSI 300,600718,Neusoft Corporation,Shanghai,0.21,CNY
2014-12-01,000300,CSI 300,600739,Liaoning Cheng Da Co Ltd,Shanghai,0.39,CNY
2014-12-01,000300,CSI 300,600741,HUAYU Automotive Systems Company Limited,Shanghai,0.24,CNY
2014-12-01,000300,CSI 300,600783,"Luxin Venture Capital Group Co.,Ltd.",Shanghai,0.08,CNY
2014-12-01,000300,CSI 300,600795,GD Power Development Co Ltd,Shanghai,0.40,CNY
2014-12-01,000300,CSI 300,600804,"DR. PENG TELECOM&MEDIA GROUP CO., LTD.",Shanghai,0.29,CNY
2014-12-01,000300,CSI 300,600809,Shanxi Xinghuacun Fen Wine Factory Co Ltd,Shanghai,0.08,CNY
2014-12-01,000300,CSI 300,600827,"Shanghai Bailian Group Co.,Ltd.",Shanghai,0.19,CNY
2014-12-01,000300,CSI 300,600832,Shanghai Oriental Pearl (Group) Co Ltd,Shanghai,0.36,CNY
2014-12-01,000300,CSI 300,600837,Haitong Securities Company Limited,Shanghai,1.85,CNY
2014-12-01,000300,CSI 300,600839,Sichuan Changhong Electric Co Ltd,Shanghai,0.28,CNY
2014-12-01,000300,CSI 300,600863,Inner Mongolia Mengdian Huaneng Thermal Power Corp Ltd,Shanghai,0.15,CNY
2014-12-01,000300,CSI 300,600867,"Tonghua Dongbao Pharmaceutical Co.,Ltd.",Shanghai,0.23,CNY
2014-12-01,000300,CSI 300,600873,"Meihua Holdings Group Co., Ltd",Shanghai,0.15,CNY
2014-12-01,000300,CSI 300,600875,Dongfang Electric Corporation Limited,Shanghai,0.17,CNY
2014-12-01,000300,CSI 300,600880,Chengdu B-ray Media Co Ltd,Shanghai,0.12,CNY
2014-12-01,000300,CSI 300,600886,"SDIC Power Holdings Co.,Ltd.",Shanghai,0.38,CNY
2014-12-01,000300,CSI 300,600887,Inner Mongolia Yili Industrial Group Co Ltd,Shanghai,0.97,CNY
2014-12-01,000300,CSI 300,600893,Xi'An Aero-Engine Plc,Shanghai,0.25,CNY
2014-12-01,000300,CSI 300,600895,Shanghai Zhangjiang Hi-tech Park Development Co Ltd,Shanghai,0.13,CNY
2014-12-01,000300,CSI 300,600900,China Yangtze Power Co Ltd,Shanghai,0.68,CNY
2014-12-01,000300,CSI 300,600998,Jointown Pharmaceutical Group Co Ltd,Shanghai,0.08,CNY
2014-12-01,000300,CSI 300,600999,China Merchants Securities Co Ltd,Shanghai,0.68,CNY
2014-12-01,000300,CSI 300,601006,Daqin Railway Co Ltd,Shanghai,0.86,CNY
2014-12-01,000300,CSI 300,601009,Bank of Nanjing Co Ltd,Shanghai,0.41,CNY
2014-12-01,000300,CSI 300,601018,Ningbo Port Co Ltd,Shanghai,0.23,CNY
2014-12-01,000300,CSI 300,601088,China Shenhua Energy Co Ltd,Shanghai,0.83,CNY
2014-12-01,000300,CSI 300,601098,China South Publishing & Media Group Co Ltd,Shanghai,0.16,CNY
2014-12-01,000300,CSI 300,601111,Air China Ltd,Shanghai,0.16,CNY
2014-12-01,000300,CSI 300,601117,China National Chemical Engineering Co Ltd,Shanghai,0.21,CNY
2014-12-01,000300,CSI 300,601118,China Hainan Rubber Industry Group Co Ltd,Shanghai,0.17,CNY
2014-12-01,000300,CSI 300,601139,Shenzhen Gas Co Ltd,Shanghai,0.05,CNY
2014-12-01,000300,CSI 300,601158,Chongqing Water Group Co Ltd,Shanghai,0.10,CNY
2014-12-01,000300,CSI 300,601166,Industrial Bank,Shanghai,2.09,CNY
2014-12-01,000300,CSI 300,601168,Western Mining Co Ltd,Shanghai,0.22,CNY
2014-12-01,000300,CSI 300,601169,Bank of Beijing Co Ltd,Shanghai,0.87,CNY
2014-12-01,000300,CSI 300,601179,China XD Electric Co Ltd,Shanghai,0.17,CNY
2014-12-01,000300,CSI 300,601186,China Railway Construction Co Ltd,Shanghai,0.40,CNY
2014-12-01,000300,CSI 300,601216,Inner Mongolia Junzheng Energy & Chemical Industry Co Ltd,Shanghai,0.10,CNY
2014-12-01,000300,CSI 300,601225,Shaanxi Coal Industry Company Limited,Shanghai,0.05,CNY
2014-12-01,000300,CSI 300,601231,"Universal Scientific Industrial (Shanghai) Co.,Ltd.",Shanghai,0.05,CNY
2014-12-01,000300,CSI 300,601238,"Guangzhou Automobile Group Co., Ltd.",Shanghai,0.11,CNY
2014-12-01,000300,CSI 300,601258,Pangda Automobile Trade Co Ltd,Shanghai,0.09,CNY
2014-12-01,000300,CSI 300,601288,Agricultural Bank of China Co Ltd,Shanghai,1.12,CNY
2014-12-01,000300,CSI 300,601299,China CNR Co Ltd,Shanghai,0.40,CNY
2014-12-01,000300,CSI 300,601318,Ping An Insurance (Group) Company of China Ltd,Shanghai,3.73,CNY
2014-12-01,000300,CSI 300,601328,Bank of Communications Co LTD,Shanghai,1.31,CNY
