"成分券代码.Constituent.Code","成分券名称.Constituent.Name","成分券英文名称.Constituent.Name.Eng..","交易所.Exchange",""
"600703","三安光电","Sanan Optoelectronics Co.,Ltd","Shanghai","sh600703"
"600705","中航资本","AVIC CAPITAL CO.,LTD.","Shanghai","sh600705"
"600718","东软集团","Neusoft Corporation","Shanghai","sh600718"
"600739","辽宁成大","Liaoning Cheng Da Co Ltd","Shanghai","sh600739"
"600741","华域汽车","HUAYU Automotive Systems Company Limited","Shanghai","sh600741"
"600783","鲁信创投","Luxin Venture Capital Group Co.,Ltd.","Shanghai","sh600783"
"600795","国电电力","GD Power Development Co Ltd","Shanghai","sh600795"
"600804","鹏博士","DR. PENG TELECOM&MEDIA GROUP CO., LTD.","Shanghai","sh600804"
"600809","山西汾酒","Shanxi Xinghuacun Fen Wine Factory Co Ltd","Shanghai","sh600809"
"600827","百联股份","Shanghai Bailian Group Co.,Ltd.","Shanghai","sh600827"
"600832","东方明珠","Shanghai Oriental Pearl (Group) Co Ltd","Shanghai","sh600832"
"600837","海通证券","Haitong Securities Company Limited","Shanghai","sh600837"
"600839","四川长虹","Sichuan Changhong Electric Co Ltd","Shanghai","sh600839"
"600863","内蒙华电","Inner Mongolia Mengdian Huaneng Thermal Power Corp Ltd","Shanghai","sh600863"
"600867","通化东宝","Tonghua Dongbao Pharmaceutical Co.,Ltd.","Shanghai","sh600867"
"600873","梅花生物","Meihua Holdings Group Co., Ltd","Shanghai","sh600873"
"600875","东方电气","Dongfang Electric Corporation Limited","Shanghai","sh600875"
"600880","博瑞传播","Chengdu B-ray Media Co Ltd","Shanghai","sh600880"
"600886","国投电力","SDIC Power Holdings Co.,Ltd.","Shanghai","sh600886"
"600887","伊利股份","Inner Mongolia Yili Industrial Group Co Ltd","Shanghai","sh600887"
"600893","航空动力","Xi'An Aero-Engine Plc","Shanghai","sh600893"
"600900","长江电力","China Yangtze Power Co Ltd","Shanghai","sh600900"
"600998","九州通","Jointown Pharmaceutical Group Co Ltd","Shanghai","sh600998"
"600999","招商证券","China Merchants Securities Co Ltd","Shanghai","sh600999"
"601006","大秦铁路","Daqin Railway Co Ltd","Shanghai","sh601006"
"601009","南京银行","Bank of Nanjing Co Ltd","Shanghai","sh601009"
"601018","宁波港","Ningbo Port Co Ltd","Shanghai","sh601018"
"601088","中国神华","China Shenhua Energy Co Ltd","Shanghai","sh601088"
"601098","中南传媒","China South Publishing & Media Group Co Ltd","Shanghai","sh601098"
"601111","中国国航","Air China Ltd","Shanghai","sh601111"
"601117","中国化学","China National Chemical Engineering Co Ltd","Shanghai","sh601117"
"601118","海南橡胶","China Hainan Rubber Industry Group Co Ltd","Shanghai","sh601118"
"601158","重庆水务","Chongqing Water Group Co Ltd","Shanghai","sh601158"
"601166","兴业银行","Industrial Bank","Shanghai","sh601166"
"601168","西部矿业","Western Mining Co Ltd","Shanghai","sh601168"
"601169","北京银行","Bank of Beijing Co Ltd","Shanghai","sh601169"
"601179","中国西电","China XD Electric Co Ltd","Shanghai","sh601179"
"601186","中国铁建","China Railway Construction Co Ltd","Shanghai","sh601186"
"601216","内蒙君正","Inner Mongolia Junzheng Energy & Chemical Industry Co Ltd","Shanghai","sh601216"
"601225","陕西煤业","Shaanxi Coal Industry Company Limited","Shanghai","sh601225"
"601231","环旭电子","Universal Scientific Industrial (Shanghai) Co.,Ltd.","Shanghai","sh601231"
"601258","庞大集团","Pangda Automobile Trade Co Ltd","Shanghai","sh601258"
"601288","农业银行","Agricultural Bank of China Co Ltd","Shanghai","sh601288"
"601299","中国北车","China CNR Co Ltd","Shanghai","sh601299"
"601318","中国平安","Ping An Insurance (Group) Company of China Ltd","Shanghai","sh601318"
"601328","交通银行","Bank of Communications Co LTD","Shanghai","sh601328"
"601333","广深铁路","Guangshen Railway Company Limited","Shanghai","sh601333"
"601336","新华保险","New China Life Insurance Co Ltd","Shanghai","sh601336"
"601377","兴业证券","Industrial Securities Co Ltd","Shanghai","sh601377"
"601390","中国中铁","China Railway Group Limited","Shanghai","sh601390"
"601398","工商银行","Industrial and Commercial Bank of China Ltd","Shanghai","sh601398"
"601555","东吴证券","Soochow Securities Co Ltd","Shanghai","sh601555"
"601600","中国铝业","Aluminum Corporation of China Limited","Shanghai","sh601600"
"601601","中国太保","China Pacific Insurance (Group) Co Ltd","Shanghai","sh601601"
"601607","上海医药","Shanghai Pharmaceuticals Holding Co.,Ltd","Shanghai","sh601607"
"601618","中国中冶","Metallurgical Corporation of China Co Ltd","Shanghai","sh601618"
"601628","中国人寿","China Life Insurance Company Limited","Shanghai","sh601628"
"601633","长城汽车","Great Wall Motor Co Ltd","Shanghai","sh601633"
"601668","中国建筑","China State Construction Engineering Co Ltd","Shanghai","sh601668"
"601669","中国电建","Power Construction Corporation of China,Ltd","Shanghai","sh601669"
"601688","华泰证券","Huatai Securities Co Ltd","Shanghai","sh601688"
"601699","潞安环能","Shanxi Lu'an Environmental Energy Development Co Ltd","Shanghai","sh601699"
"601727","上海电气","Shanghai Electric Group Co Ltd","Shanghai","sh601727"
"601766","中国南车","CSR Co Ltd","Shanghai","sh601766"
"601800","中国交建","China Communications Construction Company Limited","Shanghai","sh601800"
"601808","中海油服","China Oilfield Services Limited","Shanghai","sh601808"
"601818","光大银行","China Everbright Bank Co Ltd","Shanghai","sh601818"
"601857","中国石油","PetroChina Co Ltd","Shanghai","sh601857"
"601866","中海集运","China Shipping Container Lines Co Ltd","Shanghai","sh601866"
"601888","中国国旅","China International Travel Service Co Ltd","Shanghai","sh601888"
"601898","中煤能源","China Coal Energy Co Ltd","Shanghai","sh601898"
"601899","紫金矿业","Zijin Mining Group Co Ltd","Shanghai","sh601899"
"601901","方正证券","Founder Securities Co Ltd","Shanghai","sh601901"
"601928","凤凰传媒","Jiangsu Phoenix Publishing & Media Co Ltd","Shanghai","sh601928"
"601929","吉视传媒","JISHI MEDIA CO.,LTD.","Shanghai","sh601929"
"601933","永辉超市","Yonghui Superstores Co Ltd","Shanghai","sh601933"
"601939","建设银行","China Construction Bank","Shanghai","sh601939"
"601958","金钼股份","Jinduicheng Molybdenum Co Ltd","Shanghai","sh601958"
"601988","中国银行","Bank of China Ltd","Shanghai","sh601988"
"601989","中国重工","China Shipbuilding Industry Co Ltd","Shanghai","sh601989"
"601992","金隅股份","BBMG Corporation","Shanghai","sh601992"
"601998","中信银行","China Citic Bank Corporation Limited","Shanghai","sh601998"
"603000","人民网","People.cn CO.,LTD","Shanghai","sh603000"
"603288","海天味业","Foshan Haitian Flavouring and Food Company Ltd.","Shanghai","sh603288"
"603699","纽威股份","Neway Valve (Suzhou) Co., Ltd.","Shanghai","sh603699"
"603993","洛阳钼业","China Molybdenum Co., Ltd.","Shanghai","sh603993"
